freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_usd,rating,is_active,client_satisfaction
FL250950,John Weaver,Male,25,Brazil,Portuguese,DevOps,7,20.0,3.8,Unknown,97.0
FL250951,Bradley Harris,Male,41,United Kingdom,English,DevOps,8,50.0,4.8,No,75.0
FL250952,Cassandra Macdonald,Female,45,Mexico,Spanish,Data Analysis,6,40.0,2.0,Yes,78.0
FL250953,Matthew White,Male,47,Turkey,Turkish,DevOps,16,100.0,3.3,No,65.0
FL250954,Miss Kimberly Marshall,Female,59,United Kingdom,English,Data Analysis,40,40.0,2.5,Yes,70.0
FL250955,Laura Thompson,Female,25,Canada,English,Blockchain Development,6,100.0,,Yes,78.0
FL250956,Nathan Soto,Male,27,Australia,English,Web Development,3,50.0,,Yes,96.0
FL250957,Rhonda Hines,Female,57,Australia,English,AI,5,100.0,0.0,Yes,80.0
FL250958,Gabrielle Bowman,Female,34,Turkey,Turkish,UI/UX Design,12,20.0,1.6,Yes,64.0
FL250959,Julian Edwards,Male,55,France,French,UI/UX Design,33,50.0,0.0,No,92.0
FL250960,Nicholas Scott,Male,21,Egypt,Arabic,Blockchain Development,1,100.0,0.0,Yes,
FL250961,Daniel Green,Male,53,Netherlands,Dutch,DevOps,27,20.0,4.7,Yes,71.0
FL250962,Catherine Johnston,Female,21,Germany,German,UI/UX Design,1,100.0,0.0,Yes,95.0
FL250963,Brenda Koch,Female,36,Brazil,Portuguese,Web Development,NaN,20.0,4.1,No,86.0
FL250964,Mr. Robert Meza,Male,40,Germany,German,AI,2,30.0,1.3,No,77.0
FL250965,Latoya Brown,Female,59,United Kingdom,English,UI/UX Design,40,100.0,2.6,Unknown,
FL250966,David Osborne III,Male,45,Netherlands,Dutch,Cybersecurity,4,20.0,2.7,Unknown,72.0
FL250967,David Hooper,Male,44,South Korea,Korean,Machine Learning,9,40.0,,No,70.0
FL250968,Sarah Miller,Female,36,United Kingdom,English,Cybersecurity,13,30.0,3.6,No,86.0
FL250969,Lisa Werner MD,Female,26,India,Hindi,Graphic Design,1,75.0,3.0,Yes,
FL250970,Eric Jimenez,Male,49,India,Hindi,Web Development,1,NaN,0.0,No,82.0
FL250971,Jay Bush,Male,29,France,French,Mobile Apps,3,40.0,0.0,Yes,81.0
FL250972,Johnny Rice,Male,32,France,French,Graphic Design,1,40.0,3.1,Yes,76.0
FL250973,Matthew Strong,Male,24,Indonesia,Indonesian,Blockchain Development,3,30.0,3.9,No,90.0
FL250974,Mark Chandler,Male,35,South Korea,Korean,DevOps,14,30.0,1.6,Yes,67.0
FL250975,Crystal Brown,Female,43,Spain,Spanish,Blockchain Development,2,NaN,1.8,No,61.0
FL250976,Timothy Barton,Male,53,South Korea,Korean,Machine Learning,27,100.0,3.7,No,73.0
FL250977,Lisa Hickman,Female,38,Russia,Russian,DevOps,7,75.0,,No,
FL250978,Alan Mendoza,Male,57,United Kingdom,English,Cybersecurity,29,75.0,4.1,No,90.0
FL250979,Jason Sanders,Male,27,China,Mandarin,Blockchain Development,5,75.0,1.4,Yes,64.0
FL250980,Charles Dean,Male,43,Argentina,Spanish,Web Development,2,100.0,1.1,Yes,63.0
FL250981,Blake Newton,Male,48,Canada,English,Data Analysis,18,40.0,3.9,Unknown,
FL250982,David Gonzalez,Male,26,Brazil,Portuguese,Cybersecurity,8,20.0,3.6,No,67.0
FL250983,Cindy Williams,Female,NaN,South Africa,Afrikaans,Graphic Design,0,40.0,0.0,No,97.0
FL250984,Laura Wong DDS,Female,50,Italy,Italian,Data Analysis,16,75.0,4.5,No,69.0
FL250985,Robert Moran,Male,48,South Africa,Afrikaans,Web Development,8,50.0,,Yes,73.0
FL250986,Bradley Wu,Male,60,Spain,Spanish,Blockchain Development,39,20.0,1.4,Yes,86.0
FL250987,Daniel Thomas,Male,26,Egypt,Arabic,Machine Learning,NaN,50.0,0.0,Yes,81.0
FL250988,Michelle Peterson,Female,35,South Korea,Korean,Graphic Design,16,100.0,4.3,Yes,74.0
FL250989,Seth Thomas,Male,23,United States,English,Blockchain Development,4,100.0,2.2,Yes,64.0
FL250990,Evan Ramos,Male,37,Australia,English,Graphic Design,4,75.0,3.2,No,76.0
FL250991,Michelle Solis,Female,21,Argentina,Spanish,AI,2,100.0,3.7,Yes,73.0
FL250992,Charlotte Taylor,Female,58,Germany,German,UI/UX Design,37,50.0,4.9,No,69.0
FL250993,Sandra Preston,Female,52,Indonesia,Indonesian,Mobile Apps,32,75.0,3.2,No,79.0
FL250994,Jim Weiss,Male,46,Russia,Russian,Mobile Apps,8,20.0,2.2,Unknown,89.0
FL250995,Jennifer Hinton,Female,34,South Africa,Afrikaans,DevOps,8,30.0,3.9,Yes,95.0
FL250996,Albert Wilcox,Male,56,Turkey,Turkish,DevOps,13,100.0,0.0,No,68.0
FL250997,Cheryl Norris,Female,26,Germany,German,Blockchain Development,6,40.0,2.8,No,82.0
FL250998,Kathy Watkins,Female,37,Japan,Japanese,Data Analysis,15,75.0,,No,94.0
FL250999,John Obrien,Male,46,Russia,Russian,Machine Learning,22,100.0,2.8,Yes,97.0
FL251000,Dawn Green,Female,36,Mexico,Spanish,UI/UX Design,18,20.0,1.7,Yes,72.0
