freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250499,Robin Moore,Female,22,Russia,Russian,UI/UX Design,3,USD 100,3.6,1,78%
FL250500,Suzanne Ingram,f,40,Egypt,Arabic,Web Development,11,$20,1.8,1,90%
FL250501,Jacob Mclaughlin,m,55,Australia,English,Data Analysis,7,USD 100,2.1,0,66%
FL250502,Michael Nunez,M,32,Mexico,Spanish,DevOps,1,$50,,yes,70%
FL250503,Isabel Brown,FEMALE,21,Japan,Japanese,UI/UX Design,0,USD 30,4.2,yes,79%
FL250504,Michael Stein,M,23,South Korea,Korean,Blockchain Development,1,40,0,0,64%
FL250505,Robert Stone,Male,21,United Kingdom,English,Mobile Apps,1,USD 30,1,N,81%
FL250506,Dillon Henry,Male,31,Argentina,Spanish,AI,7,75,4.4,0,83%
FL250507,James Todd,M,21,Mexico,Spanish,Blockchain Development,,40,4,0,91%
FL250508,Clifford Moore MD,male,33,United Kingdom,English,Cybersecurity,6,USD 50,3.1,N,
FL250509,John Rios,m,57,Brazil,Portuguese,Web Development,5,75,1.1,TRUE,77%
FL250510,Anthony Gaines,m,52,United States,English,DevOps,17,USD 75,0,0,94%
FL250511,Kristi Brown DVM,Female,21,Germany,German,Web Development,0,$20,3.8,1,61%
FL250512,Ashley Odonnell,FEMALE,36,Argentina,Spanish,UI/UX Design,8,100,1.7,N,68%
FL250513,Ronald Elliott,male,33,Spain,Spanish,Machine Learning,13,50,2.2,N,70%
FL250514,Lorraine Lowery,F,54,United Kingdom,English,Data Analysis,15,40,4.1,TRUE,71
FL250515,Victoria Chapman,female,33,United States,English,Blockchain Development,2,USD 100,3.8,FALSE,
FL250516,Heather Davis,female,36,Japan,Japanese,Machine Learning,9,$30,0,yes,78%
FL250517,Diana Chase,FEMALE,36,Turkey,Turkish,AI,3,USD 50,0,no,75
FL250518,Danielle Adkins,F,43,China,Mandarin,AI,15,$20,4.2,TRUE,91%
