freelancer_ID,forename,surname,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250499,Robin,Moore,F,22,Russia,Russian,UI/UX Design,3,100,3.6,Y,0.78
FL250500,Suzanne,Ingram,F,40,Egypt,Arabic,Web Development,11,20,1.8,Y,0.9
FL250501,Jacob,Mclaughlin,M,55,Australia,English,Data Analysis,7,100,2.1,N,0.66
FL250502,Michael,Nunez,M,32,Mexico,Spanish,DevOps,1,50,,Y,0.7
FL250503,Isabel,Brown,F,21,Japan,Japanese,UI/UX Design,0,30,4.2,Y,0.79
FL250504,Michael,Stein,M,23,South Korea,Korean,,1,40,0,N,0.64
FL250505,Robert,Stone,M,21,United Kingdom,English,Mobile Apps,1,30,1,N,0.81
FL250506,Dillon,Henry,M,31,Argentina,Spanish,Artificial Intelligence,7,75,4.4,N,0.83
FL250507,James,Todd,M,21,Mexico,Spanish,,,"40",4,N,0.91
FL250508,Clifford,Moore MD,M,33,United Kingdom,English,Cybersecurity,6,50,3.1,N,
FL250509,John,Rios,M,57,Brazil,Portuguese,Web Development,5,75,1.1,Y,0.77
FL250510,Anthony,Gaines,M,52,United States,English,DevOps,17,75,0,N,0.94
FL250511,Kristi,Brown DVM,F,21,Germany,German,Web Development,0,20,3.8,Y,0.61
FL250512,Ashley,Odonnell,F,36,Argentina,Spanish,UI/UX Design,8,100,1.7,N,0.68
FL250513,Ronald,Elliott,M,33,Spain,Spanish,Machine Learning,13,50,2.2,N,0.7
FL250514,Lorraine,Lowery,F,54,United Kingdom,English,Data Analysis,15,40,4.1,Y,0.71
FL250515,Victoria,Chapman,F,33,United States,English,,2,100,3.8,N,
FL250516,Heather,Davis,F,36,Japan,Japanese,Machine Learning,9,30,0,Y,0.78
FL250517,Diana,Chase,F,36,Turkey,Turkish,Artificial Intelligence,3,50,0,N,0.75
FL250518,Danielle,Adkins,F,43,China,Mandarin,Artificial Intelligence,15,20,4.2,Y,0.91
FL250519,Kenneth,Arias,M,52,United Kingdom,English,Data Analysis,21,75,2.2,Y,0.66
FL250520,Victoria,Owen,F,28,Indonesia,Indonesian,Cybersecurity,2,75,1.5,Y,0.68
FL250521,Christina,King,F,47,China,Mandarin,Cybersecurity,21,100,0,N,
FL250522,Samantha,King,F,30,France,French,DevOps,0,100,4.1,N,0.62
FL250523,Scott,Compton,M,36,Egypt,Arabic,,4,40,2.6,N,0.9
FL250524,Monica,West,F,45,United States,English,UI/UX Design,23,100,2.4,N,0.96
FL250525,Theresa,Stewart,F,51,United States,English,,25,50,1.4,Y,0.6
FL250526,Steven,Kim,M,46,Turkey,Turkish,Mobile Apps,10,,4.6,Y,0.62
FL250527,Kristi,Knight,F,38,Italy,Italian,Data Analysis,18,40,4.9,N,0.74
FL250528,Jason,Bryant,M,26,Spain,Spanish,,1,20,0,Y,
FL250529,Maureen,Keith,F,40,United Kingdom,English,DevOps,12,30,3.5,N,0.98
FL250530,Shawn,Hogan,M,37,Germany,German,Machine Learning,,,1.7,Y,0.63
FL250531,William,Davis,M,28,Canada,English,,5,50,0,Y,0.96
FL250532,Stacy,Bailey,F,48,India,Hindi,Mobile Apps,28,20,0,N,0.88
FL250533,Thomas,Dixon,M,22,India,Hindi,Artificial Intelligence,0,,4.6,N,
FL250534,Maria,Hall,F,41,Germany,German,Web Development,14,40,1.1,Y,0.73
FL250535,Tony,Lee,M,38,United States,English,,15,,4.2,N,0.88
FL250536,Catherine,Mccoy MD,F,31,South Africa,Afrikaans,UI/UX Design,9,,0,N,0.91
FL250537,Maria,Benitez,F,30,China,Mandarin,Mobile Apps,9,30,3.9,N,0.65
FL250538,Joshua,Chambers,M,51,Mexico,Spanish,UI/UX Design,22,20,3.4,Y,0.9
FL250539,Janice,Daniels,F,21,Germany,German,DevOps,0,20,2.6,N,0.72
FL250540,Carla,Wood,F,20,Italy,Italian,DevOps,1,40,2.3,Y,0.72
FL250541,Kenneth,Vasquez,M,30,Japan,Japanese,,5,30,4.8,N,
FL250542,Kevin,Smith,M,41,China,Mandarin,Data Analysis,0,40,4.5,N,0.68
FL250543,Thomas,Kim,M,22,Spain,Spanish,,0,30,0,N,0.87
FL250544,Sean,Park,M,45,Mexico,Spanish,Cybersecurity,19,75,0,N,0.72
FL250545,Judith,Poole,F,22,Australia,English,Data Analysis,2,40,1.1,N,0.76
FL250546,Melanie,Baird,F,20,Turkey,Turkish,Mobile Apps,0,100,0,N,0.63
FL250547,Erika,Mitchell,F,20,Canada,English,Data Analysis,2,40,,Y,0.91
FL250548,Ricky,Martinez,M,21,United Kingdom,English,Artificial Intelligence,0,100,,N,0.73
FL250549,John,Christian,M,22,Netherlands,Dutch,Cybersecurity,1,40,0,N,0.63
FL250550,Nancy,Smith,F,28,United Kingdom,English,DevOps,3,20,,Y,0.79
FL250551,Cassandra,Stephens,F,59,Argentina,Spanish,Artificial Intelligence,,20,4.1,N,0.75
FL250552,Miss Janet,Donovan MD,F,28,France,French,Web Development,1,,0,N,0.7
FL250553,Kristina,Williams,F,40,Australia,English,DevOps,0,100,1.2,,0.87
FL250554,Wayne,Barnes,M,57,Italy,Italian,,7,30,1.6,N,
FL250555,James,Hinton,M,47,Turkey,Turkish,DevOps,1,50,3.9,Y,0.88
FL250556,David,Spence,M,48,South Korea,Korean,Cybersecurity,21,40,0,Y,
FL250557,Tyler,Cooper,M,28,United States,English,UI/UX Design,1,20,4.7,N,0.93
FL250558,Sean,Martinez,M,41,Turkey,Turkish,,15,,3.8,Y,
FL250559,Janet,Barron,F,57,South Africa,Afrikaans,Cybersecurity,33,100,3.5,N,0.74
FL250560,Rodney,Wilson,M,60,Argentina,Spanish,,39,75,4,,0.7
FL250561,Kimberly,Fitzgerald,F,48,Egypt,Arabic,,21,30,1.6,Y,0.67
FL250562,Nicole,Davis,F,24,France,French,Cybersecurity,5,40,3,N,0.86
FL250563,Elizabeth,Hayes,F,33,Mexico,Spanish,DevOps,11,50,5,Y,0.69
FL250564,Kathy,Faulkner,F,20,Turkey,Turkish,,0,30,4.8,Y,0.68
FL250565,John,Gonzales,M,59,United Kingdom,English,DevOps,15,50,,N,
FL250566,Shannon,Luna,F,42,China,Mandarin,DevOps,22,,2.9,N,0.61
FL250567,Stephanie,Burton,F,22,Turkey,Turkish,UI/UX Design,3,,3,Y,0.96
